,p_value,half_life,cointegration_pass,half_life_pass,stable_window,rolling_stability_6m
2024-01-31,0.02,8.004920613429931,True,True,True,1.0
2024-02-29,0.03,11.19498215003388,True,True,True,1.0
2024-03-31,0.08,10.90344857855113,False,True,False,0.6666666666666666
2024-04-30,0.04,10.437632644970904,True,True,True,0.75
2024-05-31,0.01,14.18131685931311,True,True,True,0.8
2024-06-30,0.2,14.03341378001415,False,True,False,0.6666666666666666
2024-07-31,0.03,20.240574410389755,True,True,True,0.6666666666666666
2024-08-31,0.02,27.360860982218135,True,True,True,0.6666666666666666
2024-09-30,0.04,22.031173925794683,True,True,True,0.8333333333333334
2024-10-31,0.06,23.51810040072024,False,True,False,0.6666666666666666
2024-11-30,0.03,29.959368200740794,True,True,True,0.6666666666666666
2024-12-31,0.02,31.427548032640242,True,True,True,0.8333333333333334
2025-01-31,0.01,32.4216569959916,True,True,True,0.8333333333333334
2025-02-28,0.07,30.278127821167182,False,True,False,0.6666666666666666
2025-03-31,0.04,35.88299271014691,True,True,True,0.6666666666666666
2025-04-30,0.02,40.781212777833154,True,True,True,0.8333333333333334
2025-05-31,0.03,34.62314181085967,True,True,True,0.8333333333333334
2025-06-30,0.05,40.16953695583913,False,True,False,0.6666666666666666
